#,Company,Ask for,Phone,Dial,Email,What this call is,Outcome,Notes
"45","Simply Clean of the QC","Matt Hamilton (Owner)","(309) 797-7740","3097977740","","fresh — never called","",""
"46","Water Damage Restore","","(515) 420-0411","5154200411","","fresh — never called","",""
"47","Restore It Restoration LLC","Lonnie A. Beauchamp","(573) 632-9283","5736329283","","fresh — never called","",""
"48","SteamPro Restoration","","(870) 793-4834","8707934834","","fresh — never called","",""
"49","Veteran Restoration","Steven Gern (President)","(469) 521-9511","4695219511","","fresh — never called","",""
"50","Restoration Warriors","Jordan Plunk (Owner)","(903) 278-1120","9032781120","","fresh — never called","",""
"51","CleanWay Restoration & Construction","Nate & Shawn Easley","(800) 570-2320","8005702320","","fresh — never called","",""
"52","Arkansas Restoration Services, Inc.","","(479) 967-2018","4799672018","","fresh — never called","",""
"53","Titan Restoration & Cleaning","Robert & Leslie Gamez (Owners)","(940) 782-9211","9407829211","","fresh — never called","",""
"54","Phoenix Restoration Services, Inc.","Dave Salas (Owner)","(620) 276-6994","6202766994","","fresh — never called","",""
"55","Stover's Restoration, Inc.","Owner TBD — leadership diffuse across 3 locations (Wichita/Maize, Hutchinson, Emporia); founder Phil Stover (1987) no longer confirmed active","(316) 722-5005","3167225005","","fresh — never called","",""
"56","Teddy's Cleaning & Restoration LLC","Father-son team","(405) 202-2401","4052022401","","fresh — never called","",""
"57","Pro Clean Restoration & Floor Care","Jesse Callison (President/Owner)","(636) 233-6826","6362336826","","fresh — never called","",""
"58","Schultz Restoration LLC","Nathanael Schultz (Co-Founder)","(573) 253-8030","5732538030","nate@schultzrestorationllc.com","fresh — never called","",""
"59","Steam Power Carpet Cleaning","","(217) 585-8620","2175858620","","fresh — never called","",""
"60","Sullivan's Cleaning & Restoration","Patrick Sullivan (Owner)","(920) 337-1986","9203371986","","fresh — never called","",""
